1,121,105
2,119,101
3,115,103
4,124,98
5,129,101
6,127,97
7,112,112
8,130,96
9,108,110
10,136,108
11,137,109
12,138,110
13,127,87
14,101,102
15,104,92
16,99,100
17,100,116
18,102,121
19,146,111
20,131,130
21,148,98
22,143,86
23,136,131
24,90,104
25,104,132
26,89,97
27,145,81
28,94,127
29,152,87
30,110,140
31,92,81
32,114,67
33,155,85
34,156,125
35,126,146
36,79,100
37,151,136
38,165,105
39,164,92
40,76,113
41,165,89
42,114,152
43,145,63
44,132,57
45,71,103
46,171,95
47,74,127
48,69,96
49,129,52
50,172,124
51,110,159
52,79,142
53,74,137
54,178,114
55,177,122
56,91,156
57,181,104
58,136,46
59,65,131
60,113,43
61,181,125
62,123,41
63,92,47
64,145,166
65,155,48
66,188,100
67,81,50
68,102,39
69,107,37
70,90,42
71,53,85
72,180,146
73,187,135
74,183,144
75,47,107
76,167,164
77,181,59
78,127,181
79,104,30
80,65,159
81,44,120
82,42,111
83,65,162
84,48,139
85,75,172
86,126,187
87,52,151
88,171,38
89,77,33
90,206,107
91,204,126
92,58,46
93,202,73
94,79,28
95,191,51
96,186,44
97,207,131
98,112,15
99,32,125
100,45,53
101,32,131
102,57,37
103,190,41
104,163,190
105,105,11
106,171,23
107,215,128
108,165,192
109,218,120
110,90,11
111,29,143
112,24,130
113,181,186
114,143,6
115,221,126
116,212,57
117,80,10
118,216,62
119,27,152
120,206,168
121,198,179
122,227,124
123,204,35
124,14,130
125,26,162
126,37,30
127,209,177
128,19,159
129,120,105
130,117,107
131,123,111
132,124,112
133,117,113
134,120,95
135,110,102
136,130,114
137,116,118
138,124,120
139,117,89
140,135,116
141,115,87
142,102,98
143,102,115
144,116,83
145,142,116
146,136,85
147,115,130
148,98,91
149,128,132
150,99,86
151,136,79
152,113,75
153,94,88
154,89,113
155,97,129
156,152,121
157,154,91
158,89,123
159,92,129
160,99,73
161,82,99
162,148,135
163,86,127
164,135,65
165,111,63
166,120,61
167,78,92
168,129,60
169,105,149
170,128,152
171,97,63
172,132,153
173,71,107
174,97,60
175,135,55
176,145,58
177,169,81
178,140,156
179,117,160
180,68,87
181,89,58
182,112,162
183,138,161
184,91,54
185,181,106
186,151,52
187,111,166
188,129,167
189,141,45
190,71,65
191,63,76
192,69,65
193,64,139
194,175,65
195,186,125
196,70,151
197,167,157
198,64,146
199,175,59
200,147,38
201,51,86
202,192,87
203,100,34
204,180,59
205,152,174
206,194,83
207,196,122
208,175,161
209,106,28
210,107,183
211,64,161
212,192,143
213,44,79
214,72,39
215,52,59
216,188,55
217,66,169
218,206,103
219,100,22
220,84,27
221,34,101
222,163,182
223,175,175
224,36,78
225,187,166
226,33,84
227,81,187
228,52,166
229,210,131
230,212,126
231,116,11
232,179,180
233,137,11
234,97,12
235,214,132
236,156,14
237,127,203
238,152,199
239,176,22
240,36,158
241,220,124
242,104,205
243,219,134
244,149,204
245,189,183
246,164,10
247,215,152
248,16,118
249,194,183
250,213,49
251,228,124
252,230,91
253,230,85
254,10,124
255,225,59
256,219,166
257,121,104
258,117,103
259,123,99
260,127,100
261,130,105
262,111,106
263,110,108
264,129,115
265,134,100
266,124,90
267,136,98
268,135,94
269,121,124
270,132,88
271,102,95
272,126,83
273,100,94
274,106,85
275,136,126
276,111,130
277,93,105
278,92,103
279,106,79
280,129,75
281,151,94
282,121,72
283,88,113
284,90,89
285,139,136
286,103,137
287,157,94
288,129,67
289,115,144
290,151,132
291,143,140
292,127,147
293,163,95
294,165,106
295,163,89
296,82,81
297,76,118
298,109,151
299,127,153
300,101,150
301,119,55
302,166,129
303,76,79
304,168,129
305,73,129
306,83,144
307,159,65
308,174,123
309,67,123
310,94,156
311,63,113
312,64,121
313,122,45
314,145,49
315,111,44
316,183,113
317,69,141
318,71,145
319,175,141
320,186,114
321,184,126
322,81,159
323,176,145
324,185,80
325,107,173
326,162,48
327,167,51
328,95,172
329,184,141
330,103,34
331,100,176
332,195,116
333,67,52
334,48,127
335,109,29
336,168,43
337,198,90
338,135,27
339,200,93
340,185,154
341,167,172
342,55,56
343,99,25
344,58,50
345,39,85
346,177,169
347,42,72
348,39,132
349,205,82
350,44,147
351,57,166
352,44,60
353,70,31
354,36,74
355,136,15
356,199,154
357,183,36
358,47,48
359,27,110
360,37,61
361,137,199
362,46,165
363,94,198
364,209,63
365,67,23
366,23,119
367,176,188
368,24,80
369,220,86
370,64,189
371,39,44
372,28,149
373,18,95
374,35,46
375,83,203
376,219,145
377,177,196
378,21,65
379,14,124
380,227,76
381,229,130
382,232,86
383,234,92
384,230,143
385,122,105
386,123,109
387,127,107
388,116,99
389,121,96
390,131,104
391,130,112
392,131,113
393,107,105
394,118,90
395,114,90
396,132,119
397,102,104
398,110,122
399,113,85
400,99,110
401,132,126
402,145,112
403,142,90
404,121,78
405,149,105
406,134,79
407,91,106
408,152,103
409,91,94
410,120,72
411,88,97
412,152,89
413,156,97
414,103,73
415,84,112
416,99,137
417,127,144
418,161,111
419,143,70
420,145,70
421,164,109
422,137,146
423,97,143
424,160,81
425,134,60
426,109,59
427,75,120
428,101,60
429,123,55
430,119,156
431,147,60
432,143,153
433,97,57
434,82,143
435,161,143
436,84,147
437,150,154
438,64,96
439,179,113
440,178,89
441,120,45
442,97,161
443,182,95
444,60,91
445,101,165
446,185,103
447,132,169
448,66,69
449,184,84
450,167,56
451,101,170
452,131,173
453,190,97
454,152,42
455,122,176
456,60,143
457,130,177
458,160,167
